Marca;Modelo;Version;Kms;Potencia;Antiguedad;Combustible;Cambio;Precio
PEUGEOT;208;"PEUGEOT 208 5P Tech Edit. PureTech 81KW 110CV SS 5p.";14426;110;2019;Gasolina;Manual;12500
NISSAN;JUKE;"NISSAN JUKE G E6DTemp 83 kW112 CV 5MT NCONNECTA 5p.";13850;112;2019;Gasolina;Manual;12500
FORD;Fiesta;"FORD Fiesta 1.0 EcoBoost 92kW STLine SS 5p 5p.";18000;125;2018;Gasolina;Manual;12500
DACIA;Duster;"DACIA Duster Comfort 1.6 85kW 115CV 4X2 5p.";5440;115;2019;Gasolina;Manual;12900
FORD;Focus;"FORD Focus 1.0 Ecoboost SS 92kW 125CV STLine 5p.";9500;125;2018;Gasolina;Manual;12950
NISSAN;JUKE;"NISSAN JUKE G 83kW 112CV CVT 4x2 Ultimate Edition 5p.";19000;112;2019;Gasolina;Automatico;12990
OPEL;"Crossland X";"OPEL Crossland X 1.2 81kW 110CV Edition SS 5p.";9000;110;2019;Gasolina;Manual;12990
CITROEN;C3;"CITROEN C3 PureTech 81KW 110CV SS FEEL EAT6 5p.";14553;110;2019;Gasolina;Automatico;13000
SEAT;Ibiza;"SEAT Ibiza 1.0 EcoTSI 85kW 115CV Style Plus 5p.";18168;115;2019;Gasolina;Manual;13399
VOLKSWAGEN;Golf;"VOLKSWAGEN Golf Sport 1.0 TSI 85kW 115CV DSG 5p.";10000;115;2018;Gasolina;Automatico;13490
TOYOTA;Corolla;"TOYOTA Corolla 1.8 125H ACTIVE ECVT 5p.";4000;122;2019;Hibrido;Manual;13490
RENAULT;Megane;"RENAULT Megane Limited TCe GPF 85 kW 115CV 5p.";13933;115;2019;Gasolina;Manual;13490
CITROEN;"C4 Cactus";"CITROEN C4 Cactus PureTech 81KW 110CV SS Feel 5p.";15111;110;2018;Gasolina;Manual;13490
CITROEN;"C4 Cactus";"CITROEN C4 Cactus PureTech 81KW 110CV SS Feel 5p.";11074;110;2019;Gasolina;Manual;13490
RENAULT;Megane;"RENAULT Megane Limited TCe 85 kW 115CV GPF SS 5p.";10500;115;2019;Gasolina;Manual;13500
TOYOTA;Yaris;"TOYOTA Yaris 1.5 110 Active Tech 5p.";0;111;2019;Gasolina;Manual;13500
SEAT;Ibiza;"SEAT Ibiza 1.0 EcoTSI 85kW 115CV FR Plus 5p.";16100;115;2018;Gasolina;Manual;13500
TOYOTA;Yaris;"TOYOTA Yaris 1.5 110 Active Tech 5p.";12347;111;2019;Gasolina;Manual;13500
SKODA;Fabia;"SKODA Fabia 1.0 TSI 81KW 110cv Style 5p.";12000;110;2018;Gasolina;Manual;13690
HYUNDAI;ix20;"HYUNDAI ix20 1.6 MPI Tecno 5p.";7800;126;2019;Gasolina;Manual;13700
NISSAN;JUKE;"NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.";18492;112;2018;Gasolina;Manual;13730
PEUGEOT;208;"PEUGEOT 208 5P Signature PureTech 81KW 110CV EAT6 5p.";3334;110;2018;Gasolina;Automatico;13800
SKODA;Fabia;"SKODA Fabia 1.0 TSI 81KW 110cv Ambition Plus 5p.";169;110;2020;Gasolina;Manual;13890
SUZUKI;Swift;"SUZUKI Swift 1.0 GLE 5p.";2000;111;2019;Gasolina;Manual;13890
