Marca,Modelo,Version,Precio,Combustible,Antiguedad,Kms_desde,Kms_hasta,Potencia,Cambio,Vehiculo,Url_foto,categoria,Caracteristicas,Grupo,Puede_comprarse,Plazas,Estado,Centimetros_cubicos
Fiat,500,Hybrid Dolcevita,325.0,HYBRID,2021-01-01,20000.0,40000.0,70,MANUAL,Fiat 500,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/615dade0843dbc008731ed0f/vehicle-images/624ac423f8445bc9beb8805b_2022_04_04_12_10_43.png,CityCar,,2,True,4,OPPORTUNITY,999.0
Citroen,C3,1.2 Puretech Feel,329.0,GAS,2020-01-01,30000.0,50000.0,83,MANUAL,Citroen C3,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/62600ba4a699ebe154824b6a/vehicle-images/62600bc7aa6f8df6e77c3ec8_2022_04_20_15_33_59.png,Utilitario,,1,True,5,OPPORTUNITY,1200.0
Toyota,C-HR,1.8 125H,449.0,HYBRID,2019-01-01,20000.0,100000.0,122,AUTOMATIC,Toyota C-HR,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5d7637448fd7a40028d44430/vehicle-images/62d54f59b0bd39eb4f07c9a1_2022_07_18_14_17_29.png,C-SUV,,1,True,5,OPPORTUNITY,1798.0
Lexus,UX,2.0 250h,625.0,HYBRID,2022-01-01,0.0,0.0,184,AUTOMATIC,Lexus UX,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5f6dc6cdeaa82900b344d16e/vehicle-images/624397ef2ed084401c3aaacd_2022_03_30_01_36_15.png,C-SUV,"120 Cv,5 Plazas,Manual,Diesel,Blanco Gris",1,True,5,NEW,2000.0
Peugeot,3008,1.5L BlueHDi S&S GT,459.0,DIESEL,2018-01-01,50000.0,95000.0,130,MANUAL,Peugeot 3008,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/6454fbce37bcf146777dbb10/vehicle-images/6454fca937bcf146777deb70_2023_05_05_14_55_05.png,C-SUV,"130 Cv,Acabado GT Line",1,True,5,OPPORTUNITY,1200.0
Volkswagen,Polo,1.0 TSI Advance,345.0,GAS,2019-01-01,1000.0,40000.0,80,MANUAL,Volkswagen Polo,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5e382f916d530300ab832903/vehicle-images/62552a944d02cdb6c4e92ffc_2022_04_12_09_30_28.png,Utilitario,"95 Cv,5 puertas,Acabado Advance",1,True,5,OPPORTUNITY,1000.0
Renault,Arkana,E-Tech HEV equilibre,499.0,HYBRID,2023-01-01,0.0,0.0,145,AUTOMATIC,Renault Arkana,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/628bace7d946050440b3f164/vehicle-images/62dfe2274c4c964d85bd9d56_2022_07_26_14_46_31.png,C-SUV,,1,True,5,NEW,1598.0
Nissan,Micra,IG-T Acenta,345.0,GAS,2019-01-01,20000.0,90000.0,90,MANUAL,Nissan Micra,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5fd0de70c3c97a00a35658f2/vehicle-images/62a74a60593f1e57d070e370_2022_06_13_16_32_00.png,Utilitario,"Acabado Acenta,Disponible en gasolina o diesel,85Cv de potencia,Colores disponibles Gris - Naranja",1,True,5,OPPORTUNITY,1000.0
Renault,Clio,1.0 equilibre TCe,369.0,GAS,2022-01-01,0.0,0.0,90,MANUAL,Renault Clio,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/633c56a7142c188e52f7de49/vehicle-images/6351649e962a7e090f87ad4f_2022_10_20_17_09_18.png,Utilitario,"85Cv de potencia,Color disponible Blanco,Vehiculo hibrido de Gasolina y Gas",4,True,5,NEW,1000.0
Toyota,Corolla,1.8 125H ActiveTech,429.0,HYBRID,2022-01-01,10000.0,30000.0,122,AUTOMATIC,Toyota Corolla,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/5f80122516e72300a41f2f46/vehicle-images/632312130399e8e771cd1b3e_2022_09_15_13_52_51.png,Compacto,,1,True,5,OPPORTUNITY,1800.0
Fiat,500,1.2 Lounge 69CV,329.0,GAS,2018-01-01,30000.0,100000.0,69,MANUAL,Fiat 500,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60a24becfb2bb0008dc6250c/vehicle-images/6246b5e60dc7c5c7de220ea4_2022_04_01_10_20_54.png,CityCar,,1,True,4,OPPORTUNITY,0.0
BMW,Serie 3,318d Touring,599.0,DIESEL,2019-01-01,70000.0,100000.0,150,AUTOMATIC,BMW Serie 3,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60338a50c37ea000a54e2127/vehicle-images/627e3bd88d2d684258610d10_2022_05_13_13_07_04.png,SW,"Diesel,150 Cv,5 Plazas,Automatico,Business",1,True,5,OPPORTUNITY,3000.0
Mercedes-Benz,GLC,220d AMG Line 4Matic,799.0,DIESEL,2020-01-01,20000.0,70000.0,194,AUTOMATIC,Mercedes-Benz GLC,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/622891ced4816e1d287e5870/vehicle-images/625528ebc16cdefb235bdd5d_2022_04_12_09_23_23.png,D-SUV,"170 Cv,5 Plazas,Automatico,Diesel,Gris",1,True,5,OPPORTUNITY,1950.0
Mercedes-Benz,Clase B,180d Advantage,579.0,DIESEL,2018-01-01,30000.0,70000.0,116,AUTOMATIC,Mercedes-Benz Clase B,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/626aa2ecf42154ec4ec15cd7/vehicle-images/626ab23f8cbe6986ad6a08d0_2022_04_28_17_26_55.png,Monovolumen,,1,True,5,OPPORTUNITY,1461.0
BMW,X2,xDrive25e,699.0,HYBRID,2021-01-01,10000.0,30000.0,220,AUTOMATIC,BMW X2,https://bipi-pro.s3.eu-west-1.amazonaws.com/specificvehicleplans/60a273c8d988e1008d1dcf68/vehicle-images/62439c262ed084401c3aae3a_2022_03_30_01_54_14.png,C-SUV,,1,True,5,OPPORTUNITY,1499.0
