Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color
"Seat Ateca, ","Seat Ateca, ",1.5 TSI Style,28.399 €,Gasolina,12.2021,330 km,150 CV / 110 kW,5,Cambio tipo automático,Gris
"Hyundai i10, ","Hyundai i10, ",1.0 Essence,,Gasolina,09.2022,284 km,67 CV / 49 kW,5,Cambio tipo manual,Azul
"Kia Picanto, ","Kia Picanto, ",1.0 Concept,,Gasolina,06.2020,1597 km,67 CV / 49 kW,5,Cambio tipo manual,Blanco
"Kia Stonic, ","Kia Stonic, ",1.0 TGDI Mild-Hybrid iMT Drive,,Gasolina,04.2021,1673 km,101 CV / 74 kW,5,Cambio tipo manual,Azul
"Citroen C3 Aircross, ","Citroen C3 Aircross, ",1.2 PureTech C-Series,17.099 €,Gasolina,09.2020,1695 km,110 CV / 81 kW,5,Cambio tipo manual,Gris
"Seat Arona, ","Seat Arona, ",1.0 TSI Xperience,21.599 €,Gasolina,01.2023,1771 km,110 CV / 81 kW,5,Cambio tipo manual,Rojo
"Fiat Panda, ","Fiat Panda, ",1.0 Mild-Hybrid City Life,13.599 €,Gasolina,09.2022,2019 km,70 CV / 51 kW,5,Cambio tipo manual,Gris
"Hyundai Bayon, ","Hyundai Bayon, ",1.2 Essence 2WD,17.199 €,Gasolina,07.2022,2794 km,84 CV / 62 kW,5,Cambio tipo manual,Blanco
"Opel Corsa, ","Opel Corsa, ",1.2 GS Line,15.499 €,Gasolina,07.2020,3449 km,101 CV / 74 kW,5,Cambio tipo manual,Blanco
"Peugeot 208, ","Peugeot 208, ",1.2 PureTech Signature,11.799 €,Gasolina,07.2019,3235 km,82 CV / 60 kW,5,Cambio tipo manual,Blanco
"Seat Ibiza, ","Seat Ibiza, ",1.0 TSI Reference,,Gasolina,03.2018,4415 km,95 CV / 70 kW,5,Cambio tipo manual,Azul
"Hyundai i20, ","Hyundai i20, ",1.0 TGDI Klass,16.399 €,Gasolina,11.2022,4507 km,101 CV / 74 kW,5,Cambio tipo manual,Blanco
"Hyundai Kona, ","Hyundai Kona, ",1.6 Hybrid TGDI Maxx,23.499 €,Híbrido,07.2022,4708 km,105 CV / 77 kW,5,Cambio tipo automático,Gris
"Volkswagen T-Roc, ","Volkswagen T-Roc, ",1.0 TSI Advance,22.499 €,Gasolina,04.2019,4836 km,115 CV / 85 kW,5,Cambio tipo manual,Rojo
