Marca,Modelo,Version,Precio,Combustible,Año,Kms,Potencia,Puertas,Cambio,Color,Distribuidor
Seat,Ateca,1.5 TSI Style,28399,Gasolina,2021-01-01,330.0,150,5,Automático,Gris,Autohero.com
Citroen,C3 Aircross,1.2 PureTech C-Series,17099,Gasolina,2020-01-01,1695.0,110,5,Manual,Gris,Autohero.com
Seat,Arona,1.0 TSI Xperience,21599,Gasolina,2023-01-01,1771.0,110,3,Manual,Rojo,Autohero.com
Fiat,Panda,1.0 Mild-Hybrid City Life,13599,Gasolina,2022-01-01,2019.0,70,5,Manual,Gris,Autohero.com
Hyundai,Bayon,1.2 Essence 2WD,17199,Gasolina,2022-01-01,2794.0,84,5,Manual,Blanco,Autohero.com
Opel,Corsa,1.2 GS Line,15499,Gasolina,2020-01-01,3449.0,101,5,Manual,Blanco,Autohero.com
Peugeot,208,1.2 PureTech Signature,11799,Gasolina,2019-01-01,3235.0,82,5,Manual,Blanco,Autohero.com
Hyundai,i20,1.0 TGDI Klass,16399,Gasolina,2022-01-01,4507.0,101,3,Manual,Blanco,Autohero.com
Hyundai,Kona,1.6 Hybrid TGDI Maxx,23499,Híbrido,2022-01-01,4708.0,105,5,Automático,Gris,Autohero.com
Volkswagen,T-Roc,1.0 TSI Advance,22499,Gasolina,2019-01-01,4836.0,115,5,Manual,Rojo,Autohero.com
Kia,Picanto,1.0 DPi Concept,11099,Gasolina,2021-01-01,5529.0,67,5,Manual,Rojo,Autohero.com
MINI,MINI,Cooper,21799,Gasolina,2020-01-01,5489.0,136,5,Automático,Rojo,Autohero.com
Seat,León,1.5 TSI FR Go,25699,Híbrido,2021-01-01,7328.0,150,5,Automático,Gris,Autohero.com
Dacia,Sandero II,0.9 TCe Comfort,10599,Gasolina,2019-01-01,7355.0,90,5,Manual,Blanco,Autohero.com
Fiat,Panda,1.0 Gse Mild-Hybrid Urban,12199,Gasolina,2021-01-01,7590.0,70,5,Manual,Plata,Autohero.com
Kia,XCeed,1.0 TGDI Emotion,19999,Gasolina,2021-01-01,7485.0,120,5,Manual,Azul,Autohero.com
Citroen,C4,1.5 Blue-HDi Feel,21499,Diésel,2022-01-01,7769.0,110,5,Manual,Naranja,Autohero.com
Renault,Clio,1.3 TCe RS Line GPF EDC,19399,Gasolina,2020-01-01,7861.0,131,5,Automático,Azul,Autohero.com
Mazda,2,1.5 Hybrid Select,22599,Híbrido,2022-01-01,8498.0,116,5,Automático,Plata,Autohero.com
Fiat,Panda,1.0 Mild-Hybrid City Life,12699,Gasolina,2022-01-01,8588.0,70,5,Manual,Gris,Autohero.com
Fiat,Punto,1.2 Gasolina,10499,Gasolina,2018-01-01,8697.0,70,5,Manual,Gris,Autohero.com
Fiat,Tipo,1.4 Turbo S-Design,15599,Gasolina,2019-01-01,8845.0,120,5,Manual,Negro,Autohero.com
Nissan,Micra,1.0 IG-T N-Tec,13899,Gasolina,2020-01-01,9293.0,101,5,Manual,Blanco,Autohero.com
Renault,Arkana,1.3 TCe EDC Intens Mild Hybrid,25399,Gasolina,2021-01-01,9494.0,140,5,Automático,Rojo,Autohero.com
Kia,Stonic,1.0 TGDI Mild-Hybrid iMT Drive,19499,Gasolina,2021-01-01,9363.0,120,5,Semi-automático,Rojo,Autohero.com
Renault,Twingo,0.9 Energy Zen,13199,Gasolina,2019-01-01,9768.0,90,5,Automático,Azul,Autohero.com
Toyota,Yaris,1.5 Hybrid Style,20799,Híbrido,2021-01-01,10093.0,116,5,Automático,Gris,Autohero.com
Abarth,595,1.4 T- Jet Turismo,19799,Gasolina,2021-01-01,10172.0,165,3,Manual,Gris,Autohero.com
Fiat,500C,1.2 Lounge,12299,Gasolina,2018-01-01,10255.0,70,3,Manual,Blanco,Autohero.com
Ford,Transit Connect,1.5 EcoBlue TDCi Kombi Trend L1,19299,Diésel,2019-01-01,10280.0,101,5,Manual,Blanco,Autohero.com
Jeep,Renegade,1.3 T4 4xe Plug-In-Hybrid Limited,27199,Híbrido,2021-01-01,10479.0,190,5,Automático,Negro,Autohero.com
Seat,Ibiza,1.5 TSI ACT FR,23499,Gasolina,2021-01-01,10594.0,150,5,Automático,Rojo,Autohero.com
Peugeot,208,1.2 PureTech Active,15099,Gasolina,2020-01-01,10708.0,75,5,Manual,Blanco,Autohero.com
Hyundai,Kona,1.6 Hybrid Klass,22599,Híbrido,2021-01-01,10659.0,105,5,Automático,Gris,Autohero.com
Hyundai,Tucson,1.6 CRDi Klass ,23999,Diésel,2021-01-01,10874.0,116,5,Manual,Blanco,Autohero.com
Kia,cee'd,1.6 TGDI GT,26999,Gasolina,2021-01-01,10958.0,204,5,Automático,Blanco,Autohero.com
Nissan,Micra,0.9 Turbo Business,13599,Gasolina,2018-01-01,10978.0,90,5,Manual,Gris,Autohero.com
Mazda,2,1.5 Mild-Hybrid Black Tech Edition,16499,Gasolina,2020-01-01,11371.0,90,5,Manual,Gris,Autohero.com
Volvo,XC 40,1.5 T3 Momentum Pro 2WD,33099,Gasolina,2020-01-01,11494.0,163,5,Automático,Blanco,Autohero.com
Renault,Clio,1.0 TCe Zen,16099,Gasolina,2020-01-01,11665.0,101,5,Manual,Gris,Autohero.com
Ford,Transit Connect,1.5 Kombi Trend,20099,Diésel,2020-01-01,12040.0,101,5,Manual,Blanco,Autohero.com
Seat,León,1.2 TSI Reference,13499,Gasolina,2017-01-01,11942.0,110,5,Manual,Azul,Autohero.com
