Marca;Modelo;Version;Kms;Potencia;Año;Combustible;Cambio;Precio;Distribuidor
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW112 CV 5MT NCONNECTA 5p.;13850.0;112.0;2019.0;Gasolina;Manual;12500;Fergil | Automotor10 | Grupo Angal
FORD;Fiesta;FORD Fiesta 1.0 EcoBoost 92kW STLine SS 5p 5p.;18000.0;125.0;2018.0;Gasolina;Manual;12500;d6085c51815369ed637d37eabbff831c
PEUGEOT;208;PEUGEOT 208 5P Tech Edit. PureTech 81KW 110CV SS 5p.;14426.0;110.0;2019.0;Gasolina;Manual;12500;OK Cars
DACIA;Duster;DACIA Duster Comfort 1.6 85kW 115CV 4X2 5p.;5440.0;115.0;2019.0;Gasolina;Manual;12900;Crestanevada S.L
FORD;Focus;FORD Focus 1.0 Ecoboost SS 92kW 125CV STLine 5p.;9500.0;125.0;2018.0;Gasolina;Manual;12950;e052450f29b2e0e9a53fd4eb389e25a9
OPEL;Crossland X;OPEL Crossland X 1.2 81kW 110CV Edition SS 5p.;9000.0;110.0;2019.0;Gasolina;Manual;12990;Best Selling Cars
NISSAN;JUKE;NISSAN JUKE G 83kW 112CV CVT 4x2 Ultimate Edition 5p.;19000.0;112.0;2019.0;Gasolina;Automático;12990;Autos Roso
CITROEN;C3;CITROEN C3 PureTech 81KW 110CV SS FEEL EAT6 5p.;14553.0;110.0;2019.0;Gasolina;Automático;13000;OK Cars
SEAT;Ibiza;SEAT Ibiza 1.0 EcoTSI 85kW 115CV Style Plus 5p.;18168.0;115.0;2019.0;Gasolina;Manual;13399;Autohero
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 81KW 110CV SS Feel 5p.;11074.0;110.0;2019.0;Gasolina;Manual;13490;CITROEN Barbera,Manresa,Terrassa,Igualada,SBD...
RENAULT;Mégane;RENAULT Megane Limited TCe GPF 85 kW 115CV 5p.;13933.0;115.0;2019.0;Gasolina;Manual;13490;Clicars
VOLKSWAGEN;Golf;VOLKSWAGEN Golf Sport 1.0 TSI 85kW 115CV DSG 5p.;10000.0;115.0;2018.0;Gasolina;Automático;13490;Fontasur Sl
TOYOTA;Corolla;TOYOTA Corolla 1.8 125H ACTIVE ECVT 5p.;4000.0;122.0;2019.0;Híbrido;Manual;13490;Autos Roso
CITROEN;C4 Cactus;CITROEN C4 Cactus PureTech 81KW 110CV SS Feel 5p.;15111.0;110.0;2018.0;Gasolina;Manual;13490;Interfren Citroen Figueres
TOYOTA;Yaris;TOYOTA Yaris 1.5 110 Active Tech 5p.;12347.0;111.0;2019.0;Gasolina;Manual;13500;Grupo Montalt
RENAULT;Mégane;RENAULT Mégane Limited TCe 85 kW 115CV GPF SS 5p.;10500.0;115.0;2019.0;Gasolina;Manual;13500;6ad0b0e0cf4a57e04f7b6bc3073bc59e
SEAT;Ibiza;SEAT Ibiza 1.0 EcoTSI 85kW 115CV FR Plus 5p.;16100.0;115.0;2018.0;Gasolina;Manual;13500;529f9db80f0933695cc20fff6f675205
TOYOTA;Yaris;TOYOTA Yaris 1.5 110 Active Tech 5p.;0.0;111.0;2019.0;Gasolina;Manual;13500;Grupo Montalt Mundicar
SKODA;Fabia;SKODA Fabia 1.0 TSI 81KW 110cv Style 5p.;12000.0;110.0;2018.0;Gasolina;Manual;13690;Autodalser-Dalmau, S.L.
HYUNDAI;ix20;HYUNDAI ix20 1.6 MPI Tecno 5p.;7800.0;126.0;2019.0;Gasolina;Manual;13700;Control Motor Serveis Automobilistics
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.;18492.0;112.0;2018.0;Gasolina;Manual;13730;Yamovil
PEUGEOT;208;PEUGEOT 208 5P Signature PureTech 81KW 110CV EAT6 5p.;3334.0;110.0;2018.0;Gasolina;Automático;13800;Ocasion Plus
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.;17844.0;112.0;2019.0;Gasolina;Manual;13890;Clicars
NISSAN;JUKE;NISSAN JUKE G E6DTemp 83 kW 112 CV 5MT ACENTA 5p.;19000.0;112.0;2018.0;Gasolina;Manual;13890;Gabry Motor
SKODA;Fabia;SKODA Fabia 1.0 TSI 81KW 110cv Ambition Plus 5p.;169.0;110.0;2020.0;Gasolina;Manual;13890;Sarsa Seat/ Skoda
SUZUKI;Swift;SUZUKI Swift 1.0 GLE 5p.;2000.0;111.0;2019.0;Gasolina;Manual;13890;Asimco Suzuki
VOLKSWAGEN;Polo;VOLKSWAGEN Polo Sport 1.0 TSI 85kW 115CV 5p.;10955.0;115.0;2019.0;Gasolina;Manual;13900;Domingo Alonso Gran Canaria - Das WeltAuto
